lib_id	norRNA_reads
19MHDMCLYW1668	3257965
19MHDMCLYW2160	1627303
19MHDMCLYW2161	2094889
19MHDMCLYW2163	2846627
19MHDMCLYW2162	4135083
19MHDMCLYW2164	2300023
19MHDMCLYW2166	2513751
19MHDMCLYW2159	11533187
19MHDMCLYW2167	1740595
19MHDMCLYW2165	5126220
19MHDMCLYW2168	2305181
19MHDMCLYW2171	1620853
19MHDMCLYW2169	2542353
19MHDMCLYW2170	3528381
19MHDMCLYW2158	16324916
19MHMHCAW1691	2585189
19MHMHCAW1690	2921191
19MHMHCAW1692	4633115
19MHMHCAW1694	3329379
19MHMHCAW1693	2570297
19MHMHCAW1695	2428011
19MHMHCAW1696	2095787
19MHMHCAW1697	3419129
19MHMHCAW1698	3341576
19MHMHCAW1699	2481809
19MHMHCAW1700	1987639
19MHMHCSDH1670	1830866
19MHMHCSDH1671	2097061
19MHMHCSDH1672	2403418
19MHMHCAW1701	2370207
19MHMHCSDH1673	2802796
19MHMHCSDH1674	1566693
19MHMHCSDH1675	2059329
19MHMHCSDH1676	3782746
19MHMHCSDH1677	2696302
19MHMHCSDH1678	3379549
19MHMHCAW2173	9950237
19MHMHCSDH1679	1758593
19MHMHCSDH1681	2188416
19MHMHCSDH1682	1740449
19MHMHCSDH1680	2820974
19MHMHCSDH1683	3549667
19MHMHCSDH1687	1550239
19MHMHCSDH1686	2816396
19MHMHCSDH1684	4065518
19MHMHCSDH1685	4427554
19MHMHCSR1688	2469591
19MHMHCSR1689	3135154
19MHMZJZAW1737	2552493
19MHMZJZAW1738	2793311
19MHMHCSDH2172	10030283
19MHMZJZAW1739	2926811
